date,temp_c,mosquito_habitat,tick_habitat,mosquito_gdd,tick_gdd
2026-02-17,4.54,,,0.0,0.54
2026-02-18,1.04,,,0.0,0.54
2026-02-19,-4.5,,,0.0,0.54
2026-02-20,-5.59,,,0.0,0.54
2026-02-21,-3.57,,,0.0,0.54
2026-02-22,-0.17,,,0.0,0.54
2026-02-23,5.18,,,0.0,1.7199999999999998
2026-02-24,7.18,0.03,0.08094545454545456,0.0,4.8999999999999995
2026-02-25,7.56,0.03,0.07926233766233766,0.0,8.459999999999999
2026-02-26,5.32,0.03,0.08527792207792208,0.0,9.78
2026-02-27,6.0,0.03,0.09590649350649351,0.0,11.78
2026-02-28,8.17,0.03,0.09590649350649351,0.0,15.95
2026-03-01,8.43,0.03,0.19590649350649353,0.0,20.38
2026-03-02,9.59,0.03,0.20298181818181815,0.0,25.97
2026-03-03,3.7,0.03,0.21463896103896105,0.0,25.97
2026-03-04,5.93,0.03,0.21975064935064936,0.0,27.9
2026-03-05,7.41,0.03,0.20865454545454548,0.0,31.31
2026-03-06,-2.22,0.03,0.21395324675324673,0.0,31.31
2026-03-07,-1.12,0.03,0.225174025974026,0.0,31.31
2026-03-08,6.27,0.031165714285714283,0.23246753246753246,0.0,33.58
2026-03-09,8.92,0.031165714285714283,0.21865974025974028,0.0,38.5
2026-03-10,8.82,0.031165714285714283,0.20123636363636366,0.0,43.32
2026-03-11,1.01,0.031165714285714283,0.2182857142857143,0.0,43.32
2026-03-12,7.02,0.037565714285714286,0.2396987012987013,0.0,46.34
2026-03-13,9.6,0.04872,0.2629818181818182,0.0,51.940000000000005
2026-03-14,10.51,0.06257142857142857,0.2951297173414821,0.5099999999999998,58.45
2026-03-15,-3.94,0.07886857142857143,0.32511963330786864,0.5099999999999998,58.45
2026-03-16,1.09,0.08097142857142858,0.3396131398013751,0.5099999999999998,58.45
2026-03-17,9.47,0.08462857142857141,0.34796638655462186,0.5099999999999998,63.92
2026-03-18,12.8,0.09891428571428572,0.3647077158135982,3.3100000000000005,72.72
2026-03-19,14.88,0.11772571428571428,0.39247914438502673,8.190000000000001,83.6
2026-03-20,16.06,0.13050285714285714,0.4161619556913675,14.25,95.66
2026-03-21,17.13,0.13050285714285714,0.40297754010695186,21.38,108.78999999999999
2026-03-22,10.92,0.13932571428571427,0.4150087089381207,22.299999999999997,115.71
2026-03-23,11.6,0.15292571428571428,0.4473784568372804,23.9,123.30999999999999
2026-03-24,16.25,0.16469714285714285,0.4813616501145913,30.15,135.56
2026-03-25,18.23,0.16549714285714284,0.48410450725744836,38.379999999999995,149.79
2026-03-26,15.59,0.15909714285714285,0.4680837280366693,43.97,161.38
2026-03-27,5.37,0.14794285714285713,0.45125255920550045,43.97,162.75
2026-03-28,14.37,0.13409142857142856,0.4199773873185638,48.339999999999996,173.12
2026-03-29,15.95,0.11779428571428571,0.39441344537815126,54.28999999999999,185.07
2026-03-30,15.15,0.11569142857142857,0.38581084797555387,59.43999999999999,196.22
2026-03-31,10.35,0.11228571428571428,0.3811666921313981,59.78999999999999,202.57
2026-04-01,7.66,0.198,0.3662331550802139,59.78999999999999,206.23
2026-04-02,9.48,0.18209142857142857,0.36112146676852563,59.78999999999999,211.70999999999998
2026-04-03,4.28,0.1739085714285714,0.35299190221543164,59.78999999999999,211.98999999999998
2026-04-04,5.42,0.17601142857142857,0.3702906035141329,59.78999999999999,213.40999999999997
2026-04-05,8.16,0.17178285714285715,0.36452436974789915,59.78999999999999,217.56999999999996
2026-04-06,10.11,0.1633257142857143,0.35786890756302525,59.89999999999999,223.67999999999995
2026-04-07,9.4,0.15544,0.34788571428571424,59.89999999999999,229.07999999999996
2026-04-08,11.27,0.15464,0.3359792207792208,61.16999999999999,236.34999999999997
2026-04-09,12.01,0.15464,0.3360727272727273,63.179999999999986,244.35999999999996
2026-04-10,10.92,0.15786285714285714,0.3420883116883117,64.09999999999998,251.27999999999994
2026-04-11,12.52,0.15786285714285714,0.3412155844155844,66.61999999999998,259.79999999999995
2026-04-12,12.25,0.15786285714285714,0.3367896103896104,68.86999999999998,268.04999999999995
2026-04-13,11.7,0.15786285714285714,0.3408415584415584,70.56999999999998,275.74999999999994
2026-04-14,6.53,0.16584,0.35171948051948054,70.56999999999998,278.2799999999999
2026-04-15,7.69,0.17994285714285715,0.36681436210847973,70.56999999999998,281.9699999999999
2026-04-16,11.41,0.19002285714285716,0.37706890756302525,71.97999999999998,289.37999999999994
2026-04-17,-0.55,0.18542857142857141,0.3683104660045837,71.97999999999998,289.37999999999994
2026-04-18,1.64,0.1833257142857143,0.3640715049656227,71.97999999999998,289.37999999999994
2026-04-19,9.46,0.17756571428571427,0.341848128342246,71.97999999999998,294.8399999999999
2026-04-20,13.6,0.17242285714285716,0.32482994652406416,75.57999999999997,304.43999999999994
2026-04-21,16.17,0.16853714285714286,0.3079052711993889,81.74999999999997,316.60999999999996
2026-04-22,15.68,0.16853714285714286,0.30821695951107714,87.42999999999998,328.28999999999996
2026-04-23,9.2,0.16853714285714286,0.30114163483575246,87.42999999999998,333.48999999999995
2026-04-24,9.56,0.16531428571428572,0.27804553093964857,87.42999999999998,339.04999999999995
2026-04-25,5.39,0.16531428571428572,0.28605592055003815,87.42999999999998,340.43999999999994
2026-04-26,6.79,0.1654742857142857,0.3049754010695187,87.42999999999998,343.22999999999996
2026-04-27,6.27,0.17134857142857143,0.31466890756302524,87.42999999999998,345.49999999999994
2026-04-28,6.63,0.16622857142857145,0.30768708938120704,87.42999999999998,348.12999999999994
2026-04-29,5.42,0.15212571428571428,0.275761038961039,87.42999999999998,349.54999999999995
2026-04-30,2.92,0.13914285714285715,0.24284675324675326,87.42999999999998,349.54999999999995
2026-05-01,6.57,0.13914285714285715,0.2372675324675325,87.42999999999998,352.11999999999995
2026-05-02,10.07,0.14238857142857142,0.24306493506493507,87.49999999999997,358.18999999999994
2026-05-03,12.57,0.15027428571428572,0.268187012987013,90.06999999999996,366.75999999999993
2026-05-04,11.36,0.15288000000000002,0.2817454545454546,91.42999999999996,374.11999999999995
2026-05-05,1.85,0.1680114285714286,0.3056886172650879,91.42999999999996,374.11999999999995
